address.administrative_area,address.country,address.locality,address.postal_code,address.street,field_office.name,field_office.field_office,field_office.id,field_office.address.administrative_area,field_office.address.country,field_office.address.locality,field_office.address.postal_code,field_office.address.street,field_office.aor,field_office.email,field_office.phone,image_url,name,phone,wikipedia.page_url,wikidata.page_url,osm.url,osm.latitude,osm.longitude,page_updated_date,population.male.allowed,population.male.criminal,population.male.non_criminal,population.female.allowed,population.female.criminal,population.female.non_criminal,population.ice_threat_level.level_1,population.ice_threat_level.level_2,population.ice_threat_level.level_3,population.ice_threat_level.none,facility_type.id,facility_type.housing.mandatory,facility_type.housing.guaranteed_min,facility_type.description,facility_type.expanded_name,inspection.last_date,inspection.last_rating,avg_stay_length
MS,United States,Natchez,39120,20 HOBO FORK RD,New Orleans - ERO,New Orleans Field Office,NOL,LA,United States,New Orleans,70113,1250 Poydras Suite 325,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,(504) 599-7800,https://www.ice.gov/sites/default/files/images/detention/adamscounty.jpg,ADAMS COUNTY DET CENTER,"","","",https://www.openstreetmap.org/?mlat=31.5604076&mlon=-91.4031710&zoom=15,31.5604076,-91.4031710,2025-06-11T03:14:34.000000+0000,true,53.4345238095238,2117.73511904761,true,0.0625,0.997023809523809,7.72321428571428,11.2767857142857,21.3154761904762,2131.91369047618,DIGSA,1207.06547619048,1100,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts to use all bed space via a Dedicated Intergovernmental Service Agreement; or facilities used by ICE pursuant to Inter-governmental Service Agreements, which house only ICE detainees – typically these are operated by private contractors pursuant to their agreements with local governments.",Dedicated Intergovernmental Service Agreement,2025-01-16,Pass,59.5750432813957
CA,United States,Adelanto,92301,10250 Rancho Road,Los Angeles - ERO,Los Angeles Field Office,LOS,CA,United States,Los Angeles,90012,300 North Los Angeles St. Room 7631,"Los Angeles Metropolitan Area (Counties of Los Angeles, Orange, Riverside, San Bernardino), and Central Coast (Counties of Ventura, Santa Barbara and San Luis Obispo)",LosAngeles.Outreach@ice.dhs.gov,(213) 830-7911,https://www.ice.gov/sites/default/files/images/detention/adelantoMain_0.jpg,ADELANTO ICE PROCESSING CENTER,"",https://en.wikipedia.org/wiki/Adelanto_Detention_Center,"",https://www.openstreetmap.org/?mlat=34.5838077&mlon=-117.4082453&zoom=15,34.5838077,-117.4082453,2025-09-08T05:22:14.000000+0000,true,280.922619047619,201.592261904763,true,6.70535714285714,38.2708333333334,127.872023809524,48.4315476190476,32.3452380952381,318.842261904764,CDF,322.413690476193,640,Name derived from listing at https://www.vera.org/ice-detention-trends,Contract Detention Facility,2024-02-08,Pass,26.8011204481793
NC,United States,Graham,27253,109 South Maple Street,Atlanta - ERO,Atlanta Field Office,ATL,GA,United States,Atlanta,30303,180 Ted Turner Dr. SW Suite 522,"",Atlanta.Outreach@ice.dhs.gov,(404) 893-1290,https://www.ice.gov/assets/pages/detention/facilities/alamance.png,ALAMANCE COUNTY DETENTION FACILITY,"",https://en.wikipedia.org/wiki/List_of_immigrant_detention_sites_in_the_United_States,"",https://www.openstreetmap.org/?mlat=36.0690258&mlon=-79.4005756&zoom=15,36.0690258,-79.4005756,2025-02-10T10:41:14.000000+0000,true,13.1220238095239,10.0386904761905,true,0.166666666666667,0.613095238095237,0.625,0.130952380952381,0.169642857142857,23.0148809523804,IGSA,19.3869047619045,40,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Inter-governmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,2024-04-04,Pass,2.59332905708788
NY,"",BELMONT,14813,4884 STATE ROUTE 19,Buffalo - ERO,Buffalo Field Office,BUF,NY,United States,Buffalo,14202,"250 Delaware Avenue, Floor 7",Upstate New York,Buffalo.Outreach@ice.dhs.gov,(716) 464-5800,"",ALLEGANY COUNTY JAIL,"",https://en.wikipedia.org/wiki/Eddie_Deezen,"",https://www.openstreetmap.org/?mlat=42.2231241&mlon=-78.0344506&zoom=15,42.2231241,-78.0344506,,true,0.0,0.910714285714286,true,0.505952380952381,4.30952380952381,0.0,0.0,0.0,5.72619047619048,IGSA,3.23809523809524,,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Inter-governmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,,,12.2539682539683
AK,United States,Anchorage,99501,1400 E 4TH AVE,Seattle - ERO,Seattle Field Office,SEA,WA,United States,Seattle,98168,12500 Tukwila International Boulevard,"",Seattle.Outreach@ice.dhs.gov,(206) 277-2000,https://www.ice.gov/sites/default/files/2025-07/detFacAnchorage.jpg,ANCHORAGE CORRECTIONAL COMPLEX,"",https://en.wikipedia.org/wiki/Israel_Keyes,"",https://www.openstreetmap.org/?mlat=61.2163129&mlon=-149.8948520&zoom=15,61.2163129,-149.8948520,2025-07-31T07:11:11.000000+0000,true,1.48511904761905,1.76190476190476,true,0.0,0.0,0.00595238095238095,0.0,0.0,3.24107142857143,USMS IGA,2.60416666666667,0,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshal Service contract.,United States Marshal Service Intergovernmental Agreement,2025-05-12,Pending Final Report,11.5106382978723
LA,United States,Oberlin,70655,7340 HIGHWAY 26 WEST,New Orleans - ERO,New Orleans Field Office,NOL,LA,United States,New Orleans,70113,1250 Poydras Suite 325,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,(504) 599-7800,https://www.ice.gov/sites/default/files/images/detention/allen-parish.jpg,ALLEN PARISH PUBLIC SAFETY COMPLEX,"","","",https://www.openstreetmap.org/?mlat=30.6201984&mlon=-92.7626462&zoom=15,30.6201984,-92.7626462,2025-02-10T10:41:37.000000+0000,true,52.2440476190476,120.071428571429,false,0.0,0.0,15.1636904761905,10.1130952380952,3.625,143.41369047619,IGSA,132.294642857143,170,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Inter-governmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,2024-12-12,Pass,68.3319615912208
FL,United States,MacClenny,32063,1 Sheriff Office Drive,Plantation - ERO,Miami Field Office,MIA,FL,United States,Plantation,33324,865 SW 78th Avenue Suite 101,"Florida, Puerto Rico, U.S. Virgin Islands",Miami.Outreach@ice.dhs.gov,(954) 236-4900,https://www.ice.gov/assets/pages/detention/facilities/bakerfl.jpg,BAKER COUNTY SHERIFF DEPT.,"","","",https://www.openstreetmap.org/?mlat=30.2821807&mlon=-82.1220569&zoom=15,30.2821807,-82.1220569,2025-07-07T03:28:25.000000+0000,true,143.247023809523,59.6249999999997,true,26.4047619047619,31.9910714285714,24.5952380952381,13.0059523809524,13.1428571428571,210.523809523811,IGSA,199.196428571429,192,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Inter-governmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,2024-10-24,Pass,32.1266008049762
LA,United States,Basile,70515,3843 Stagg Avenue,New Orleans - ERO,New Orleans Field Office,NOL,LA,United States,New Orleans,70113,1250 Poydras Suite 325,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,(504) 599-7800,https://www.ice.gov/sites/default/files/images/detention/southLouisianaIPC.jpg,SOUTH LOUISIANA ICE PROCESSING CENTER,"",https://en.wikipedia.org/wiki/South_Louisiana_ICE_Processing_Center,"",https://www.openstreetmap.org/?mlat=30.4849348&mlon=-92.5993935&zoom=15,30.4849348,-92.5993935,2025-02-10T13:57:54.000000+0000,true,4.30059523809524,5.12202380952381,true,136.651785714285,739.627976190479,55.3660714285713,30.125,29.9047619047619,770.306547619052,DIGSA,641.625000000005,700,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts to use all bed space via a Dedicated Intergovernmental Service Agreement; or facilities used by ICE pursuant to Inter-governmental Service Agreements, which house only ICE detainees – typically these are operated by private contractors pursuant to their agreements with local governments.",Dedicated Intergovernmental Service Agreement,2025-03-06,Pass,39.063719564842
TX,United States,Anson,79501,400 2nd Street,Dallas - ERO,Dallas Field Office,DAL,TX,United States,Dallas,75247,8101 N. Stemmons Frwy,"",Dallas.Outreach@ice.dhs.gov,(972) 367-2200,https://www.ice.gov/sites/default/files/images/detention/bluebonnet.jpg,BLUEBONNET DETENTION FACILITY,"",https://en.wikipedia.org/wiki/Bluebonnet_Detention_Center,"",https://www.openstreetmap.org/?mlat=32.7564766&mlon=-99.8967880&zoom=15,32.7564766,-99.8967880,2025-08-14T10:00:40.000000+0000,true,347.958333333342,547.163690476193,false,13.5625,59.6964285714284,66.770833333333,46.1577380952379,68.9017857142853,786.550595238063,DIGSA,695.35714285714,750,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts to use all bed space via a Dedicated Intergovernmental Service Agreement; or facilities used by ICE pursuant to Inter-governmental Service Agreements, which house only ICE detainees – typically these are operated by private contractors pursuant to their agreements with local governments.",Dedicated Intergovernmental Service Agreement,2024-12-12,Pass,27.7664266426643
KY,United States,Burlington,41005,3020 Conrad Lane,Chicago - ERO,Chicago Field Office,CHI,IL,United States,Chicago,60605,101 W Ida B Wells Drive Suite 4000,"Illinois, Indiana, Wisconsin, Missouri, Kentucky, Kansas",Chicago.Outreach@ice.dhs.gov,(872) 351-3990,https://www.ice.gov/sites/default/files/images/detention/booneky.jpg,BOONE COUNTY JAIL,"",https://en.wikipedia.org/wiki/Boone_County_Jail,https://www.wikidata.org/wiki/Q4943617,https://www.openstreetmap.org/?mlat=39.0275600&mlon=-84.7241133&zoom=15,39.0275600,-84.7241133,2025-03-21T06:55:49.000000+0000,true,114.934523809524,47.9255952380953,true,3.95238095238095,0.717261904761905,31.3809523809524,13.8511904761905,9.81845238095239,112.479166666666,USMS IGA,128.285714285714,0,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshal Service contract.,United States Marshal Service Intergovernmental Agreement,2024-11-21,Pass,38.7050583657588
