address.administrative_area,address.country,address.locality,address.postal_code,address.street,field_office.address.administrative_area,field_office.address.country,field_office.address.locality,field_office.address.postal_code,field_office.address.street,field_office.aor,field_office.email,field_office.field_office,field_office.id,field_office.name,field_office.phone,facility_type.id,facility_type.description,facility_type.expanded_name,inspection.last_type,inspection.last_date,inspection.last_rating,image_url,osm.latitude,osm.longitude,osm.url,name,page_updated_date,phone,population.avg_stay_length,population.female.allowed,population.female.criminal,population.female.non_criminal,population.male.allowed,population.male.criminal,population.male.non_criminal,population.housing.mandatory,population.housing.guaranteed_min,population.ice_threat_level.level_1,population.ice_threat_level.level_2,population.ice_threat_level.level_3,population.ice_threat_level.none,population.security_threat.low,population.security_threat.medium_low,population.security_threat.medium_high,population.security_threat.high,population.total,wikipedia.page_url,wikidata.page_url
MS,United States,Natchez,39120,20 HOBO FORK RD,LA,United States,New Orleans,70113,1250 Poydras Suite 325,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,New Orleans Field Office,NOL,New Orleans - ERO,(504) 599-7800,DIGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts to use all bed space via a Dedicated Intergovernmental Service Agreement; or facilities used by ICE pursuant to Intergovernmental Service Agreements, which house only ICE detainees – typically these are operated by private contractors pursuant to their agreements with local governments.",Dedicated Intergovernmental Service Agreement,Office of Detention Oversight,2025-01-16,Pass,https://www.ice.gov/sites/default/files/images/detention/adamscounty.jpg,31.5604076,-91.4031710,https://www.openstreetmap.org/?mlat=31.5604076&mlon=-91.4031710&zoom=15,ADAMS COUNTY DET CENTER,2025-06-11T03:14:34.000000+0000,"",59.5750432813957,true,0.0625,0.997023809523809,true,53.4345238095238,2117.73511904761,1207.06547619048,1100,7.72321428571428,11.2767857142857,21.3154761904762,2131.91369047618,1877.25892857145,262.675595238095,25.6994047619048,6.5952380952381,2172.229166666658,"",""
CA,United States,Adelanto,92301,10250 Rancho Road,CA,United States,Los Angeles,90012,300 North Los Angeles St. Room 7631,"Los Angeles Metropolitan Area (Counties of Los Angeles, Orange, Riverside, San Bernardino), and Central Coast (Counties of Ventura, Santa Barbara and San Luis Obispo)",LosAngeles.Outreach@ice.dhs.gov,Los Angeles Field Office,LOS,Los Angeles - ERO,(213) 830-7911,CDF,Name derived from listing at https://www.vera.org/ice-detention-trends,Contract Detention Facility,Office of Detention Oversight,2024-02-08,Pass,https://www.ice.gov/sites/default/files/images/detention/adelantoMain_0.jpg,34.5838077,-117.4082453,https://www.openstreetmap.org/?mlat=34.5838077&mlon=-117.4082453&zoom=15,ADELANTO ICE PROCESSING CENTER,2025-09-08T05:22:14.000000+0000,"",26.8011204481793,true,6.70535714285714,38.2708333333334,true,280.922619047619,201.592261904763,322.413690476193,640,127.872023809524,48.4315476190476,32.3452380952381,318.842261904764,156.419642857144,53.4255952380952,147.821428571429,169.824404761905,527.4910714285726,https://en.wikipedia.org/wiki/Adelanto_Detention_Center,""
NC,United States,Graham,27253,109 South Maple Street,GA,United States,Atlanta,30303,180 Ted Turner Dr. SW Suite 522,"Georgia, North Carolina, South Carolina",Atlanta.Outreach@ice.dhs.gov,Atlanta Field Office,ATL,Atlanta - ERO,(404) 893-1290,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,Office of Detention Oversight,2024-04-04,Pass,https://www.ice.gov/assets/pages/detention/facilities/alamance.png,36.0690258,-79.4005756,https://www.openstreetmap.org/?mlat=36.0690258&mlon=-79.4005756&zoom=15,ALAMANCE COUNTY DETENTION FACILITY,2025-02-10T10:41:14.000000+0000,"",2.59332905708788,true,0.166666666666667,0.613095238095237,true,13.1220238095239,10.0386904761905,19.3869047619045,40,0.625,0.130952380952381,0.169642857142857,23.0148809523804,7.74404761904776,3.51488095238096,7.03571428571438,5.64583333333338,23.940476190476303,https://en.wikipedia.org/wiki/List_of_immigrant_detention_sites_in_the_United_States,""
NY,"",BELMONT,14813,4884 STATE ROUTE 19,NY,United States,Buffalo,14202,"250 Delaware Avenue, Floor 7",Upstate New York,Buffalo.Outreach@ice.dhs.gov,Buffalo Field Office,BUF,Buffalo - ERO,(716) 464-5800,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,,,,"",42.2231241,-78.0344506,https://www.openstreetmap.org/?mlat=42.2231241&mlon=-78.0344506&zoom=15,ALLEGANY COUNTY JAIL,,"",12.2539682539683,true,0.505952380952381,4.30952380952381,true,0.0,0.910714285714286,3.23809523809524,,0.0,0.0,0.0,5.72619047619048,5.32142857142857,0.366071428571429,0.0386904761904762,0.0,5.726190476190477,https://en.wikipedia.org/wiki/Eddie_Deezen,""
AK,United States,Anchorage,99501,1400 E 4TH AVE,WA,United States,Seattle,98168,12500 Tukwila International Boulevard,"Alaska, Oregon, Washington",Seattle.Outreach@ice.dhs.gov,Seattle Field Office,SEA,Seattle - ERO,(206) 277-2000,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,Operational Review Self-Assessment,2025-05-12,Pending Final Report,https://www.ice.gov/sites/default/files/2025-07/detFacAnchorage.jpg,61.2163129,-149.8948520,https://www.openstreetmap.org/?mlat=61.2163129&mlon=-149.8948520&zoom=15,ANCHORAGE CORRECTIONAL COMPLEX,2025-07-31T07:11:11.000000+0000,"",11.5106382978723,true,0.0,0.0,true,1.48511904761905,1.76190476190476,2.60416666666667,0,0.00595238095238095,0.0,0.0,3.24107142857143,1.54761904761905,0.306547619047619,0.776785714285714,0.616071428571429,3.24702380952381,https://en.wikipedia.org/wiki/List_of_Alaska_state_prisons,""
LA,United States,Oberlin,70655,7340 HIGHWAY 26 WEST,LA,United States,New Orleans,70113,1250 Poydras Suite 325,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,New Orleans Field Office,NOL,New Orleans - ERO,(504) 599-7800,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,Office of Detention Oversight,2024-12-12,Pass,https://www.ice.gov/sites/default/files/images/detention/allen-parish.jpg,30.6201984,-92.7626462,https://www.openstreetmap.org/?mlat=30.6201984&mlon=-92.7626462&zoom=15,ALLEN PARISH PUBLIC SAFETY COMPLEX,2025-02-10T10:41:37.000000+0000,"",68.3319615912208,false,0.0,0.0,true,52.2440476190476,120.071428571429,132.294642857143,170,15.1636904761905,10.1130952380952,3.625,143.41369047619,98.1964285714286,28.6309523809524,31.1190476190476,14.3690476190476,172.3154761904766,"",""
FL,United States,MacClenny,32063,1 Sheriff Office Drive,FL,United States,Plantation,33324,865 SW 78th Avenue Suite 101,"Florida, Puerto Rico, U.S. Virgin Islands",Miami.Outreach@ice.dhs.gov,Miami Field Office,MIA,Plantation - ERO,(954) 236-4900,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,Office of Detention Oversight,2024-10-24,Pass,https://www.ice.gov/assets/pages/detention/facilities/bakerfl.jpg,30.2821807,-82.1220569,https://www.openstreetmap.org/?mlat=30.2821807&mlon=-82.1220569&zoom=15,BAKER COUNTY SHERIFF DEPT.,2025-07-07T03:28:25.000000+0000,"",32.1266008049762,true,26.4047619047619,31.9910714285714,true,143.247023809523,59.6249999999997,199.196428571429,192,24.5952380952381,13.0059523809524,13.1428571428571,210.523809523811,36.1041666666665,34.1577380952381,107.586309523809,83.4196428571429,261.26785714285603,"",""
LA,United States,Basile,70515,3843 Stagg Avenue,LA,United States,New Orleans,70113,1250 Poydras Suite 325,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,New Orleans Field Office,NOL,New Orleans - ERO,(504) 599-7800,DIGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts to use all bed space via a Dedicated Intergovernmental Service Agreement; or facilities used by ICE pursuant to Intergovernmental Service Agreements, which house only ICE detainees – typically these are operated by private contractors pursuant to their agreements with local governments.",Dedicated Intergovernmental Service Agreement,Office of Detention Oversight,2025-03-06,Pass,https://www.ice.gov/sites/default/files/images/detention/southLouisianaIPC.jpg,30.4849348,-92.5993935,https://www.openstreetmap.org/?mlat=30.4849348&mlon=-92.5993935&zoom=15,SOUTH LOUISIANA ICE PROCESSING CENTER,2025-02-10T13:57:54.000000+0000,"",39.063719564842,true,136.651785714285,739.627976190479,true,4.30059523809524,5.12202380952381,641.625000000005,700,55.3660714285713,30.125,29.9047619047619,770.306547619052,599.089285714287,106.711309523809,134.672619047619,45.2291666666666,885.702380952383,https://en.wikipedia.org/wiki/South_Louisiana_ICE_Processing_Center,""
TX,United States,Anson,79501,400 2nd Street,TX,United States,Dallas,75247,8101 N. Stemmons Frwy,"North Texas, Oklahoma",Dallas.Outreach@ice.dhs.gov,Dallas Field Office,DAL,Dallas - ERO,(972) 367-2200,DIGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts to use all bed space via a Dedicated Intergovernmental Service Agreement; or facilities used by ICE pursuant to Intergovernmental Service Agreements, which house only ICE detainees – typically these are operated by private contractors pursuant to their agreements with local governments.",Dedicated Intergovernmental Service Agreement,Office of Detention Oversight,2024-12-12,Pass,https://www.ice.gov/sites/default/files/images/detention/bluebonnet.jpg,32.7564766,-99.8967880,https://www.openstreetmap.org/?mlat=32.7564766&mlon=-99.8967880&zoom=15,BLUEBONNET DETENTION FACILITY,2025-08-14T10:00:40.000000+0000,"",27.7664266426643,false,13.5625,59.6964285714284,true,347.958333333342,547.163690476193,695.35714285714,750,66.770833333333,46.1577380952379,68.9017857142853,786.550595238063,440.232142857165,176.833333333337,245.187500000004,106.127976190476,968.3809523809634,https://en.wikipedia.org/wiki/Bluebonnet_Detention_Center,""
KY,United States,Burlington,41005,3020 Conrad Lane,IL,United States,Chicago,60605,101 W Ida B Wells Drive Suite 4000,"Illinois, Indiana, Wisconsin, Missouri, Kentucky, Kansas",Chicago.Outreach@ice.dhs.gov,Chicago Field Office,CHI,Chicago - ERO,(872) 351-3990,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,Office of Detention Oversight,2024-11-21,Pass,https://www.ice.gov/sites/default/files/images/detention/booneky.jpg,39.0275600,-84.7241133,https://www.openstreetmap.org/?mlat=39.0275600&mlon=-84.7241133&zoom=15,BOONE COUNTY JAIL,2025-03-21T06:55:49.000000+0000,"",38.7050583657588,true,3.95238095238095,0.717261904761905,true,114.934523809524,47.9255952380953,128.285714285714,0,31.3809523809524,13.8511904761905,9.81845238095239,112.479166666666,44.577380952381,28.9940476190476,41.9196428571429,52.0386904761905,167.52976190476215,https://en.wikipedia.org/wiki/Boone_County_Jail,https://www.wikidata.org/wiki/Q4943617
