_repaired_record,address.administrative_area,address.country,address.locality,address.other_localities,address.other_postal_codes,address.other_streets,address.postal_code,address.street,field_office.address.administrative_area,field_office.address.country,field_office.address.locality,field_office.address.postal_code,field_office.address.street,field_office.aor,field_office.email,field_office.field_office,field_office.id,field_office.name,field_office.source_urls,field_office.phone,facility_type.id,facility_type.description,facility_type.expanded_name,inspection.last_type,inspection.last_date,inspection.last_rating,inspection.details.0.date,inspection.details.0.url,inspection.details.0.text,image_url,osm.latitude,osm.longitude,osm.url,name,other_names,other_phones,page_updated_date,phone,population.avg_stay_length,population.female.allowed,population.female.criminal,population.female.non_criminal,population.male.allowed,population.male.criminal,population.male.non_criminal,population.housing.mandatory,population.housing.guaranteed_min,population.ice_threat_level.level_1,population.ice_threat_level.level_2,population.ice_threat_level.level_3,population.ice_threat_level.none,population.security_threat.low,population.security_threat.medium_low,population.security_threat.medium_high,population.security_threat.high,population.total,source_urls,vera_id,wikipedia.page_url,wikidata.page_url
true,MS,United States,Natchez,"","",20 Hobo Forks Road,39120,20 HOBO FORK RD,LA,United States,St. Rose,70087,181 James Drive W,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,New Orleans Field Office,NOL,St. Rose - ERO,https://www.ice.gov/contact/field-offices?page=7&exposed_form_display=1,(504) 599-7800,DIGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts to use all bed space via a Dedicated Intergovernmental Service Agreement; or facilities used by ICE pursuant to Intergovernmental Service Agreements, which house only ICE detainees – typically these are operated by private contractors pursuant to their agreements with local governments.",Dedicated Intergovernmental Service Agreement,Office of Detention Oversight,2025-01-16 00:00:00,Pass,"Aug. 3-6, 2020","","",https://www.ice.gov/sites/default/files/images/detention/adamscounty.jpg,31.5576334,-91.2211771,https://www.openstreetmap.org/way/410593707,ADAMS COUNTY CORRECTIONAL CENTER,"","",2025-12-16T13:23:09.000000+0000,"",36.90645933,false,0,0,true,190.173228,2001.149606,1375.700787,1436,63.787402,63.740157,116.15748,1947.637796,1747.992126,287.496063,97.307087,58.527559,190.1732282001.14960600,"https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,https://www.ice.gov/detention-facilities?page=0&exposed_form_display=1,https://www.ice.gov/detain/detention-facilities/adams-county-detention-center","",https://en.wikipedia.org/wiki/Adams_County_Correctional_Center,""
true,CA,United States,Adelanto,"","",Adelanto East 10400 Rancho Road | Adelanto West 10250 Rancho Road,92301,10250 Rancho Road,CA,United States,Los Angeles,90012,300 North Los Angeles St. Room 7631,"Los Angeles Metropolitan Area (Counties of Los Angeles, Orange, Riverside, San Bernardino), and Central Coast (Counties of Ventura, Santa Barbara and San Luis Obispo)",LosAngeles.Outreach@ice.dhs.gov,Los Angeles Field Office,LOS,Los Angeles - ERO,https://www.ice.gov/contact/field-offices?page=3&exposed_form_display=1,(213) 830-7911,CDF,Name derived from listing at https://www.vera.org/ice-detention-trends,Contract Detention Facility,Office of Detention Oversight,2025-09-18 00:00:00,Pass,,,,https://www.ice.gov/sites/default/files/images/detention/adelantoMain_0.jpg,34.5599467,-117.4421505,https://www.openstreetmap.org/way/624536369,ADELANTO ICE PROCESSING CENTER,"","",2026-01-05T05:36:00.000000+0000,"",47.104613734,false,33.173228,225.779528,true,701.653543,841.566929,814.889764,640,533.362205,184.291339,144.401575,940.11811,677.173228,189.771654,437.346457,497.88189,701.653543841.56692933.173228225.779528,"https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,https://www.ice.gov/detention-facilities?page=0&exposed_form_display=1,https://www.ice.gov/detain/detention-facilities/adelanto-ice-processing-center","",https://en.wikipedia.org/wiki/Adelanto_Detention_Center,""
true,LA,"",ALEXANDRIA,"","","",71303,96 GEORGE THOMPSON DR,LA,United States,St. Rose,70087,181 James Drive W,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,New Orleans Field Office,NOL,St. Rose - ERO,https://www.ice.gov/contact/field-offices?page=7&exposed_form_display=1,(504) 599-7800,STAGING,,,Office of Detention Oversight,2025-02-27 00:00:00,Pass,"Aug. 2-4, 2022","","","",31.3178092,-92.5362936,https://www.openstreetmap.org/way/1426129643,Alexandria Staging Facility,ALEXANDRIA STAGING FACILI,"",,"",2.579442491,false,0.03937,0.976378,true,89.952756,319.488189,284.291339,,47.834646,25.622047,38.291339,298.708661,248.456693,62.519685,57.629921,41.850394,89.952756319.4881890.039370.976378,https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,"",https://en.wikipedia.org/wiki/Alexandria_International_Airport_%28Louisiana%29,""
false,NY,"",BELMONT,"","","",14813,4884 STATE ROUTE 19,NY,United States,Buffalo,14202,"250 Delaware Avenue, Floor 7",Upstate New York,Buffalo.Outreach@ice.dhs.gov,Buffalo Field Office,BUF,Buffalo - ERO,https://www.ice.gov/contact/field-offices?page=0&exposed_form_display=1,(716) 464-5800,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,,Scheduled FY26,,"Nov. 29-Dec. 1, 2016","","","",42.2231241,-78.0344506,https://www.openstreetmap.org/?mlat=42.2231241&mlon=-78.0344506,ALLEGANY COUNTY JAIL,"","",,"",7.344444444,true,0.149606,5.401575,true,0,0,2.472441,,0.03937,0,0.149606,5.362205,5.551181,0,0,0,000.1496065.401575,https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,"",https://en.wikipedia.org/wiki/Eddie_Deezen,""
true,LA,United States,Oberlin,"","",7340 Highway 26 W,70655,7340 HIGHWAY 26 WEST,LA,United States,St. Rose,70087,181 James Drive W,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,New Orleans Field Office,NOL,St. Rose - ERO,https://www.ice.gov/contact/field-offices?page=7&exposed_form_display=1,(504) 599-7800,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,Office of Detention Oversight,2024-12-12 00:00:00,Pass,"Dec. 10-12, 2024","","",https://www.ice.gov/sites/default/files/images/detention/allen-parish.jpg,30.6201984,-92.7626462,https://www.openstreetmap.org/?mlat=30.6201984&mlon=-92.7626462,ALLEN PARISH PUBLIC SAFETY COMPLEX,"","",2025-12-16T13:21:20.000000+0000,"",72.347578348,false,0,0.055118,true,49.535433,98.740157,105.440945,170,39.322835,15.598425,3.401575,90.007874,82.622047,10.511811,44.062992,11.133858,49.53543398.74015700.055118,"https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,https://www.ice.gov/detention-facilities?page=0&exposed_form_display=1,https://www.ice.gov/detain/detention-facilities/allen-parish-public-safety-complex","",https://en.wikipedia.org/wiki/List_of_immigrant_detention_sites_in_the_United_States,""
true,AK,United States,Anchorage,"","",1400 E Fourth Ave,99501,1400 E 4TH AVE,WA,United States,Seattle,98168,12500 Tukwila International Boulevard,"Alaska, Oregon, Washington",Seattle.Outreach@ice.dhs.gov,Seattle Field Office,SEA,Seattle - ERO,https://www.ice.gov/contact/field-offices?page=6&exposed_form_display=1,(206) 277-2000,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,Operational Review Self-Assessment,2024-03-29 00:00:00,Pass,,,,https://www.ice.gov/sites/default/files/2025-07/detFacAnchorage.jpg,61.2183804,-149.8576490,https://www.openstreetmap.org/way/221625097,ANCHORAGE CORRECTIONAL COMPLEX,"","",2025-12-16T13:21:26.000000+0000,"",4.984375,false,0,0,true,0.417323,2.181102,1.204724,0,0.417323,0.125984,0.03937,2.015748,1.80315,0.275591,0.228346,0.291339,0.4173232.18110200,"https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,https://www.ice.gov/detention-facilities?page=0&exposed_form_display=1,https://www.ice.gov/detain/detention-facilities/anchorage-correctional-complex","",https://en.wikipedia.org/wiki/Israel_Keyes,""
false,FL,"",SANDERSON,"","","",32087,20706 US 90 W,FL,United States,Miramar,33027,2805 SW 145th Ave,"Florida, Puerto Rico, U.S. Virgin Islands",Miami.Outreach@ice.dhs.gov,Miramar Sub Office,MIA,Miramar - ERO,https://www.ice.gov/contact/field-offices?page=4&exposed_form_display=1,(954) 843-5800,STATE,,,,,,,,,"",30.2521786,-82.2728938,https://www.openstreetmap.org/?mlat=30.2521786&mlon=-82.2728938,BAKER CORRECTIONAL INSTITUTION,"","",,"",17.540672607,false,0,0,true,222.645669,648.811024,432.755906,,141.409449,55.425197,74.889764,599.732284,458.850394,160.204724,138.480315,113.92126,222.645669648.81102400,https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,"",https://en.wikipedia.org/wiki/Baker_Correctional_Institution,https://www.wikidata.org/wiki/Q28446354
true,FL,United States,MacClenny,"","","",32063,1 Sheriff Office Drive,FL,United States,Miramar,33027,2805 SW 145th Ave,"Florida, Puerto Rico, U.S. Virgin Islands",Miami.Outreach@ice.dhs.gov,Miramar Sub Office,MIA,Miramar - ERO,https://www.ice.gov/contact/field-offices?page=4&exposed_form_display=1,(954) 843-5800,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,Office of Detention Oversight,2024-10-24 00:00:00,Pass,,,,https://www.ice.gov/assets/pages/detention/facilities/bakerfl.jpg,30.2821807,-82.1220569,https://www.openstreetmap.org/?mlat=30.2821807&mlon=-82.1220569,BAKER COUNTY SHERIFF DEPT.,"","",2025-12-16T13:22:20.000000+0000,"",45.297402597,true,27.141732,78.228346,true,75.692913,104.944882,156.527559,250,60.606299,24.11811,31.19685,170.086614,70.133858,36.133858,112.314961,67.425197,75.692913104.94488227.14173278.228346,"https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,https://www.ice.gov/detention-facilities?page=0&exposed_form_display=1,https://www.ice.gov/detain/detention-facilities/baker-county-facility","","",""
true,AL,"",BAY MINETTE,"","","",36507,200 HAND AVE,LA,United States,St. Rose,70087,181 James Drive W,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,New Orleans Field Office,NOL,St. Rose - ERO,https://www.ice.gov/contact/field-offices?page=7&exposed_form_display=1,(504) 599-7800,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,Office of Detention Oversight,2024-09-26 00:00:00,Fail,"Sep. 26-28, 2023","","","",30.8845400,-87.7747690,https://www.openstreetmap.org/way/52229079,BALDWIN COUNTY CORRECTIONAL CENTER,"","",,"",2.996108949,true,0.055118,1.11811,true,1.992126,15.173228,8.897638,,0.614173,0.748031,1.425197,15.551181,13.976378,2.062992,1.212598,1.086614,1.99212615.1732280.0551181.11811,https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,"",https://en.wikipedia.org/wiki/List_of_immigrant_detention_sites_in_the_United_States,""
true,NH,United States,Berlin,"","",1 Success Loop Rd,03570,1 SUCCESS LOOP DR,MA,United States,Burlington,01803,1000 District Avenue,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont",Boston.Outreach@ice.dhs.gov,Boston Field Office,BOS,Burlington - ERO,https://www.ice.gov/contact/field-offices?page=1&exposed_form_display=1,(781) 359-7500,BOP,A facility operated by the Federal Bureau of Prisons,Federal Bureau of Prisons,"",,"",,,,https://www.ice.gov/sites/default/files/2025-04/fci-berlin.png,44.4696602,-71.1810703,https://www.openstreetmap.org/?mlat=44.4696602&mlon=-71.1810703,BERLIN FED. CORR. INST.,"","",2025-12-17T02:13:15.000000+0000,"",58.404580153,false,0,0.19685,true,34.472441,163.519685,81.19685,0,19.031496,7.685039,13.299213,158.173228,102.354331,16.653543,54.393701,24.787402,34.472441163.51968500.19685,"https://www.ice.gov/doclib/detention/FY26_detentionStats_02122026.xlsx,https://www.ice.gov/detention-facilities?page=2&exposed_form_display=1,https://www.ice.gov/detain/detention-facilities/federal-correctional-institution-berlin-nh","","",""
