address.administrative_area,address.country,address.locality,address.postal_code,address.street,field_office.address.administrative_area,field_office.address.country,field_office.address.locality,field_office.address.postal_code,field_office.address.street,field_office.aor,field_office.email,field_office.field_office,field_office.id,field_office.name,field_office.phone,facility_type.id,facility_type.description,facility_type.expanded_name,inspection.last_type,inspection.last_date,inspection.last_rating,image_url,osm.latitude,osm.longitude,osm.url,name,page_updated_date,phone,population.avg_stay_length,population.female.allowed,population.female.criminal,population.female.non_criminal,population.male.allowed,population.male.criminal,population.male.non_criminal,population.housing.mandatory,population.housing.guaranteed_min,population.ice_threat_level.level_1,population.ice_threat_level.level_2,population.ice_threat_level.level_3,population.ice_threat_level.none,population.security_threat.low,population.security_threat.medium_low,population.security_threat.medium_high,population.security_threat.high,population.total,vera_id,wikipedia.page_url,wikidata.page_url
MS,United States,Natchez,39120,20 HOBO FORK RD,LA,United States,St. Rose,70087,181 James Drive W,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,New Orleans Field Office,NOL,St. Rose - ERO,(504) 599-7800,DIGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts to use all bed space via a Dedicated Intergovernmental Service Agreement; or facilities used by ICE pursuant to Intergovernmental Service Agreements, which house only ICE detainees – typically these are operated by private contractors pursuant to their agreements with local governments.",Dedicated Intergovernmental Service Agreement,Office of Detention Oversight,2025-01-16 00:00:00,Pass,https://www.ice.gov/sites/default/files/images/detention/adamscounty.jpg,31.5604076,31.5604076,https://www.openstreetmap.org/?mlat=31.5604076&mlon=-91.4031710&zoom=15,ADAMS COUNTY CORRECTIONAL CENTER,2025-10-07T07:36:01.000000+0000,"",70,false,1,2,true,210,2001,1346,1436,45,57,118,1995,1775,307,90,42,2214,"",https://en.wikipedia.org/wiki/Adams_County_Correctional_Center,""
CA,United States,Adelanto,92301,10250 Rancho Road,CA,United States,Los Angeles,90012,300 North Los Angeles St. Room 7631,"Los Angeles Metropolitan Area (Counties of Los Angeles, Orange, Riverside, San Bernardino), and Central Coast (Counties of Ventura, Santa Barbara and San Luis Obispo)",LosAngeles.Outreach@ice.dhs.gov,Los Angeles Field Office,LOS,Los Angeles - ERO,(213) 830-7911,CDF,Name derived from listing at https://www.vera.org/ice-detention-trends,Contract Detention Facility,Office of Detention Oversight,2025-09-18 00:00:00,Pass,https://www.ice.gov/sites/default/files/images/detention/adelantoMain_0.jpg,34.5838077,34.5838077,https://www.openstreetmap.org/?mlat=34.5838077&mlon=-117.4082453&zoom=15,ADELANTO ICE PROCESSING CENTER,2025-09-08T05:22:14.000000+0000,"",23,false,43,207,true,743,764,842,640,432,158,119,1047,668,185,423,479,1757,"",https://en.wikipedia.org/wiki/Adelanto_Detention_Center,""
NC,United States,Graham,27253,109 South Maple Street,GA,United States,Atlanta,30303,180 Ted Turner Dr. SW Suite 522,"Georgia, North Carolina, South Carolina",Atlanta.Outreach@ice.dhs.gov,Atlanta Field Office,ATL,Atlanta - ERO,(404) 893-1290,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,Office of Detention Oversight,2024-09-19 00:00:00,Pass,https://www.ice.gov/assets/pages/detention/facilities/alamance.png,36.0690258,36.0690258,https://www.openstreetmap.org/?mlat=36.0690258&mlon=-79.4005756&zoom=15,ALAMANCE COUNTY DETENTION FACILITY,2025-02-10T10:41:14.000000+0000,"",2,false,0,1,true,9,13,13,40,0,0,0,22,8,3,6,5,23,"",https://en.wikipedia.org/wiki/List_of_immigrant_detention_sites_in_the_United_States,""
LA,"",ALEXANDRIA,71303,96 GEORGE THOMPSON DR,LA,United States,St. Rose,70087,181 James Drive W,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,New Orleans Field Office,NOL,St. Rose - ERO,(504) 599-7800,STAGING,,,Office of Detention Oversight,2025-02-27 00:00:00,Pass,"",31.3119463,31.3119463,https://www.openstreetmap.org/?mlat=31.3119463&mlon=-92.4453558&zoom=15,Alexandria Staging Facility,,"",3,false,0,1,true,111,303,308, ,41,23,32,320,243,68,61,43,415,"",https://en.wikipedia.org/wiki/Alexandria_International_Airport_%28Louisiana%29,""
NY,"",BELMONT,14813,4884 STATE ROUTE 19,NY,United States,Buffalo,14202,"250 Delaware Avenue, Floor 7",Upstate New York,Buffalo.Outreach@ice.dhs.gov,Buffalo Field Office,BUF,Buffalo - ERO,(716) 464-5800,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement, , , ,"",42.2231241,42.2231241,https://www.openstreetmap.org/?mlat=42.2231241&mlon=-78.0344506&zoom=15,ALLEGANY COUNTY JAIL,,"",16,true,0,5,true,0,0,2, ,0,0,0,6,6,0,0,0,5,"",https://en.wikipedia.org/wiki/Eddie_Deezen,""
LA,United States,Oberlin,70655,7340 HIGHWAY 26 WEST,LA,United States,St. Rose,70087,181 James Drive W,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,New Orleans Field Office,NOL,St. Rose - ERO,(504) 599-7800,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,Office of Detention Oversight,2024-12-12 00:00:00,Pass,https://www.ice.gov/sites/default/files/images/detention/allen-parish.jpg,30.6201984,30.6201984,https://www.openstreetmap.org/?mlat=30.6201984&mlon=-92.7626462&zoom=15,ALLEN PARISH PUBLIC SAFETY COMPLEX,2025-02-10T10:41:37.000000+0000,"",147,false,0,0,true,53,91,98,170,32,18,3,92,79,14,39,13,144,"","",""
AK,United States,Anchorage,99501,1400 E 4TH AVE,WA,United States,Seattle,98168,12500 Tukwila International Boulevard,"Alaska, Oregon, Washington",Seattle.Outreach@ice.dhs.gov,Seattle Field Office,SEA,Seattle - ERO,(206) 277-2000,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,Operational Review Self-Assessment,2025-04-11 00:00:00,Pass,https://www.ice.gov/sites/default/files/2025-07/detFacAnchorage.jpg,61.2163129,61.2163129,https://www.openstreetmap.org/?mlat=61.2163129&mlon=-149.8948520&zoom=15,ANCHORAGE CORRECTIONAL COMPLEX,2025-07-31T07:11:11.000000+0000,"",15,false,0,0,true,0,2,1, ,0,0,0,2,2,0,0,0,2,"",https://en.wikipedia.org/wiki/Israel_Keyes,""
FL,United States,MacClenny,32063,1 Sheriff Office Drive,FL,United States,Miramar,33027,2805 SW 145th Ave,"Florida, Puerto Rico, U.S. Virgin Islands",Miami.Outreach@ice.dhs.gov,Miramar Sub Office,MIA,Miramar - ERO,(954) 843-5800,IGSA,"A publicly-owned facility operated by state/local government(s), or private contractors, in which ICE contracts for bed space via an Intergovernmental Service Agreement; or local jails used by ICE pursuant to Intergovernmental Service Agreements, which house both ICE and non-ICE detainees, typically county prisoners awaiting trial or serving short sentences, but sometimes also USMS prisoners.",Intergovernmental Service Agreement,Office of Detention Oversight,2024-10-24 00:00:00,Pass,https://www.ice.gov/assets/pages/detention/facilities/bakerfl.jpg,30.2821807,30.2821807,https://www.openstreetmap.org/?mlat=30.2821807&mlon=-82.1220569&zoom=15,BAKER COUNTY SHERIFF DEPT.,2025-07-07T03:28:25.000000+0000,"",38,true,28,76,true,88,96,124,250,45,16,20,208,62,35,124,67,288,"","",""
AL,"",BAY MINETTE,36507,200 HAND AVE,LA,United States,St. Rose,70087,181 James Drive W,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,New Orleans Field Office,NOL,St. Rose - ERO,(504) 599-7800,USMS IGA,A USMS Intergovernmental Agreement in which ICE agrees to utilize an already established US Marshals Service contract.,United States Marshals Service Intergovernmental Agreement,Office of Detention Oversight,2025-07-16 00:00:00,Fail,"",30.8829628,30.8829628,https://www.openstreetmap.org/?mlat=30.8829628&mlon=-87.7730474&zoom=15,BALDWIN COUNTY CORRECTIONAL CENTER,,"",2,true,0,1,true,1,10,4, ,0,0,0,12,9,2,1,0,12,"",https://en.wikipedia.org/wiki/Illinois_Department_of_Corrections,""
NH,United States,Berlin,03570,1 SUCCESS LOOP DR,MA,United States,Burlington,01803,1000 District Avenue,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont",Boston.Outreach@ice.dhs.gov,Boston Field Office,BOS,Burlington - ERO,(781) 359-7500,BOP,A facility operated by the Federal Bureau of Prisons,Federal Bureau of Prisons, , , ,https://www.ice.gov/sites/default/files/2025-04/fci-berlin.png,44.4696602,44.4696602,https://www.openstreetmap.org/?mlat=44.4696602&mlon=-71.1810703&zoom=15,BERLIN FED. CORR. INST.,2025-05-06T04:26:41.000000+0000,"",58,false,0,1,true,38,159,103, ,15,5,9,169,107,15,58,18,198,"","",""
